proxtarg,disttarg,ptdl,dtdl,proxang,distang,prox_x,prox_y,dist_x,dist_y,dp,tpeff,tdeff
-45.0,0.0,-2.670353756,-2.670353756,-53.32094867867149,-1.870914518507951e-15,-17.710599293071947,26.380361163864418,-40.166433992165196,43.105656018275795,-0.9875500681622145,-3.164128790081107,-1.1102230246251565e-16
-45.0,15.0,-3.002901595,-1.447687998,-55.115060688178566,26.20799274984108,-18.18785710902024,25.952636642425134,-35.4619641066226,47.66575920737556,-0.535383889827412,-3.270593539913706,1.555213597
-45.0,30.0,-3.335449434,-0.22502224,-56.909172697685634,52.41598549968216,-18.653930294110943,25.51406312338897,-29.466290111997523,50.24841528600015,-0.08321771149260954,-3.3770582897463046,3.110427194
-45.0,45.0,-3.667997273,0.997643517,-58.70328471030876,72.40656941305656,-19.10854918921133,25.06494573238549,-24.79197091488382,50.54119372711202,0.36894846647237306,-3.4835230397638135,4.296692323527627
-45.0,60.0,-4.000545112,2.220309275,-60.49739671981583,90.99479344020824,-19.551452679061477,24.605596625590955,-20.564855598658465,49.62931401241633,0.8211146448071756,-3.5899877895964125,5.399739742192824
-30.0,-60.0,-0.424301078,-6.696642271,-28.01724863265204,-63.965502749241224,-9.96141658735023,31.102082122133304,-34.66405446027504,40.72675025483688,-2.47655184872967,-1.662577002364835,-3.7957893442703297
-30.0,-45.0,-0.763284767,-5.467540662,-29.899761238406835,-45.20047751274239,-10.592821361733725,30.84277517191329,-33.84960401756044,45.04395602983009,-2.02200556435856,-1.77428754917928,-2.6822503306414403
-30.0,-30.0,-1.102268457,-4.238439054,-31.782273864129372,-26.435452270011453,-11.216945508676156,30.56775740344513,-32.00633151935402,48.93651349205568,-1.5674592803572696,-1.8859980971786348,-1.5687113166427302
-30.0,-15.0,-1.441252147,-3.009337445,-33.66478648673586,-7.670427016660917,-11.833366094477011,30.27724159633175,-29.25899766963309,52.16621612493839,-1.1129129959861597,-1.9977086449930797,-0.4551723020138404
-30.0,0.0,-1.780235837,-1.780235837,-35.54729911245841,0.0,-12.441666569316224,29.97145239861451,-28.72016182823642,52.75325636812739,-0.6583667119848697,-2.109419192992435,0.0
-30.0,15.0,-2.119219527,-0.551134229,-37.42981173818095,26.424902791739406,-13.041437096490732,29.650626138158813,-22.839147297786553,55.604932906686244,-0.20382042798357966,-2.2211297409917896,1.5680852979999997
-30.0,30.0,-2.458203217,0.67796738,-39.31232436078745,48.624648722151505,-13.632274891646983,29.315010617123136,-17.613222970424655,56.15446296552858,0.2507258563875302,-2.332840288806235,2.88544474061247
-30.0,45.0,-2.797186907,1.907068988,-41.19483698650999,67.38967396488242,-14.213784555475026,28.964864896132852,-13.431312619773445,55.304362316219695,0.7052721403888204,-2.4445508368055897,3.9989837546111793
-30.0,60.0,-3.136170596,3.136170596,-43.07734959538084,86.15469919076168,-14.785578386012922,28.600459077239186,-9.538937261088929,53.39129867371537,1.1598184243901102,-2.556261383804945,5.11252276760989
-15.0,-60.0,0.490802115,-5.831509626,-9.900410024297207,-70.19917994967578,-3.5998932812135624,32.760012924393116,-24.968923107708846,47.94331182361454,-2.1566085451057786,-0.5875021575528894,-4.165703195894221
-15.0,-45.0,0.145572107,-4.596161699,-11.868719900571307,-51.26256018899004,-4.309575875707008,32.65537307122375,-23.236503585951276,51.96350110096953,-1.6997522477812146,-0.7043040168906073,-3.0419815582187852
-15.0,-30.0,-0.199657902,-3.360813772,-13.837029793697118,-32.32594041145257,-5.016004052748028,32.53202179307145,-20.5907913921177,55.335326174907706,-1.2428959504566517,-0.8211058772283258,-1.9182599195433485
-15.0,-15.0,-0.54488791,-2.125465845,-15.805339669971222,-13.389320650766804,-5.718645589869543,32.39006377723007,-17.207883981947145,57.85149530375651,-0.786039653132088,-0.937907736566044,-0.7945382818679119
-15.0,0.0,-0.890117919,-0.890117919,-17.773649566213077,-9.354572592539755e-16,-6.416971723591374,32.22961946940754,-14.964178548410999,58.893176161899945,-0.32918335617734484,-1.0547095970886724,-5.551115123125783e-17
-15.0,15.0,-1.235347927,0.345230008,-19.74195944248719,24.483918876836825,-7.110457575717307,32.05082497045901,-9.157219661466272,59.753769754123454,0.12767294114721847,-1.1715114564263909,1.4529049938527816
-15.0,30.0,-1.580577935,1.580577935,-21.710269318761295,43.42053863752259,-7.798582676909743,31.853831896815006,-5.017187585125454,59.019039758182366,0.5845292384717818,-1.2883133157641091,2.5766266315282182
-15.0,45.0,-1.925807944,2.815925862,-23.678579211887104,62.35715841506004,-8.480831414834153,31.638807241391845,-1.1600662953808891,57.194955584261955,1.041385535796345,-1.4051151761018275,3.7003482702036545
-15.0,60.0,-2.271037952,4.051273789,-25.64688908816121,81.29377817574581,-9.15669348392825,31.40593322155394,2.1660054503657076,54.391322223809475,1.4982418331209084,-1.5219170354395457,4.824069907879091
0.0,-60.0,1.405147179,-4.965618853,8.206015184421306,-76.4120303676894,2.9867740165856045,32.835035848873574,-13.83136867297391,52.521812942832014,-1.83638487062975,0.48695474368512504,-4.534381161370249
0.0,-45.0,1.053860384,-3.72421414,6.154511383324043,-57.30902277420904,2.2422286197843,32.90715770435065,-11.26855075906737,56.05318681253915,-1.3772886530647674,0.3652160574676163,-3.4007858709352328
0.0,-30.0,0.70257359,-2.482809427,4.103007599078477,-38.206015197580356,1.4958425979835173,32.95872089018516,-7.956604186905566,58.74332676978056,-0.9181924354997851,0.2434773722501074,-2.267190581500215
0.0,-15.0,0.351286795,-1.241404713,2.051503801097262,-19.103007593480378,0.748228474990958,32.98967784181253,-4.115276214614061,60.42695146694914,-0.4590962175649826,0.12173868621750869,-1.1335952904350175
0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,61.0,0.0,0.0,0.0
0.0,15.0,-0.351286795,1.241404713,-2.051503801097262,19.103007593480378,-0.748228474990958,32.98967784181253,4.115276214614061,60.42695146694914,0.4590962175649826,-0.12173868621750869,1.1335952904350175
0.0,30.0,-0.70257359,2.482809427,-4.103007599078477,38.206015197580356,-1.4958425979835173,32.95872089018516,7.956604186905566,58.74332676978056,0.9181924354997851,-0.2434773722501074,2.267190581500215
0.0,45.0,-1.053860384,3.72421414,-6.154511383324043,57.30902277420904,-2.2422286197843,32.90715770435065,11.26855075906737,56.05318681253915,1.3772886530647674,-0.3652160574676163,3.4007858709352328
0.0,60.0,-1.405147179,4.965618853,-8.206015184421306,76.4120303676894,-2.9867740165856045,32.835035848873574,13.83136867297391,52.521812942832014,1.83638487062975,-0.48695474368512504,4.534381161370249
15.0,-60.0,2.318734114,-4.098969951,26.302026996619535,-82.60405399266244,9.380145510327575,31.324497126975437,-1.987147198244923,54.204311687765355,-1.5158808249317657,1.5607937015341173,-4.901823240068234
15.0,-45.0,1.961580065,-2.851697984,24.169932633246965,-63.33986527463147,8.650166260952027,31.5823386949503,1.2795157841280913,57.07817161109294,-1.054614779839398,1.434272675080301,-3.7586632691606012
15.0,-30.0,1.604426016,-1.604426016,22.037838272990452,-44.075676545980905,7.912544920885261,31.819293177126834,5.090649233167419,58.95933203010185,-0.5933487343772104,1.3077516488113947,-2.6155032976227894
15.0,-15.0,1.247271967,-0.357154049,19.905743909617893,-24.811487827949932,7.167928567279604,32.03512499210778,9.192940115901376,59.73370094293377,-0.1320826892848428,1.1812306223575786,-1.472343326715157
15.0,0.0,0.890117919,0.890117919,17.773649566213077,9.354572592539755e-16,6.416971723591374,32.22961946940754,14.964178548410999,58.893176161899945,0.32918335617734484,1.0547095970886724,5.551115123125783e-17
15.0,15.0,0.53296387,2.137389886,15.641555202840518,13.716889601879913,5.660335633130119,32.40258309629201,17.167680698436456,57.852231290534476,0.7904494012697124,0.9281885706348563,0.8139766147302874
15.0,30.0,0.175809821,3.384661853,13.509460839467957,32.981078319910885,4.898687600663612,32.55384372137933,20.49992152572589,55.32002754292117,1.25171544636208,0.80166754418104,1.95713658563792
15.0,45.0,-0.181344228,4.631933821,11.377366479211442,52.24526704856146,4.132700256870155,32.68325075315432,23.079790052159524,51.91998342067103,1.7129814918242676,0.6751465179121339,3.100296557175732
