,ProxTarget,DistTarget,ECAVCProx,ECAVCDist,DNNProx,DNNDist,NewProx,NewDist
50,15,15,0.53296387,2.137389886,0.849936128,1.984530926,0.362166094519398,1.78023583703422
51,15,30,0.175809821,3.384661853,0.70005995,3.367728472,-0.165785729478311,2.67035375555132
52,15,45,-0.181344228,4.631933821,0.116343871,4.800578117,-0.693737553476021,3.56047167406843
53,15,60,-0.538498277,5.879205788,-0.023792226,5.984876156,-1.22168937747373,4.45058959258554
54,30,-60,3.231562921,-3.231562921,4.007474422,-3.243204355,3.89204313302505,-1.78023583703422
55,30,-45,2.86873115,-1.978613231,3.417280912,-2.047384977,3.36409130902735,-0.890117918517108
56,30,-30,2.505899379,-0.725663542,2.970667839,-0.942973554,2.83613948502964,2.22044604925031e-16
57,30,-15,2.143067608,0.527286148,2.775898695,0.122516274,2.30818766103193,0.890117918517108
58,30,0,1.780235837,1.780235837,1.907286882,1.787069559,1.78023583703422,1.78023583703422
59,30,15,1.417404066,3.033185527,1.767476678,3.00007534,1.25228401303651,2.67035375555132
60,30,30,1.054572295,4.286135216,1.571403027,4.326114655,0.724332189038797,3.56047167406843
61,30,45,0.691740524,5.539084905,1.121333241,5.715900421,0.196380365041087,4.45058959258554
62,30,60,0.328908753,6.792034595,0.600201964,6.845659256,-0.331571458956623,5.34070751110265
63,45,-60,4.143633599,-2.363397762,4.978809357,-2.839399815,4.78216105154216,-0.890117918517107
64,45,-45,3.775313638,-1.104959882,4.65532589,-1.776625633,4.25420922754445,4.44089209850063e-16
65,45,-30,3.406993677,0.153477997,4.202010155,-0.598428071,3.72625740354674,0.890117918517108
66,45,-15,3.038673716,1.411915876,3.865060329,1.039920092,3.19830557954903,1.78023583703422
67,45,0,2.670353756,2.670353756,3.20305109,2.266777515,2.67035375555132,2.67035375555132
68,45,15,2.302033795,3.928791635,2.998764277,3.989051819,2.14240193155361,3.56047167406843
69,45,30,1.933713834,5.187229514,2.681423664,5.13064909,1.61445010755590,4.45058959258554
70,45,45,1.565393873,6.445667393,1.601074934,6.4114995,1.08649828355819,5.34070751110265
71,45,60,1.197073912,7.704105273,1.386417985,7.755186081,0.558546459560485,6.23082542961976
72,60,-60,5.054946148,-1.494474474,6.012107849,-2.077738285,5.67227897005927,4.44089209850063e-16
73,60,-45,4.681327529,-0.230737937,5.875476837,-1.048734784,5.14432714606156,0.890117918517108
74,60,-30,4.307708911,1.0329986,5.16217804,-0.028019905,4.61637532206385,1.78023583703422
75,60,-15,3.934090292,2.296735137,4.709568501,1.839551926,4.08842349806614,2.67035375555132
76,60,0,3.560471674,3.560471674,4.460724831,3.114268303,3.56047167406843,3.56047167406843
77,60,15,3.186853056,4.824208211,4.1698246,4.76166153,3.03251985007072,4.45058959258554
78,60,30,2.813234437,6.087944748,3.826543331,5.887816906,2.50456802607301,5.34070751110265
79,60,45,2.439615819,7.351681285,2.609381676,7.205798149,1.97661620207530,6.23082542961976
80,60,60,2.0659972,8.615417822,2.441608667,8.811442375,1.44866437807759,7.12094334813686
