proxtarg,disttarg,ptdl,dtdl,exproxang,exdistang,ret_tp,ret_td
-30.0,15.0,-2.119219527,-0.551134229,-25.53138582,7.708209939,-2.33304032027893,-0.890117918517108
-30.0,30.0,-2.458203217,0.67796738,-25.10099984,18.40103827,-2.88584480352365,0
-30.0,45.0,-2.797186907,1.907068988,-23.59357217,31.89105156,-3.43864928676836,0.890117918517109
-30.0,60.0,-3.136170596,3.136170596,-22.15821875,45.02687455,-3.99145377001307,1.78023583703422
-15.0,-60.0,0.490802115,-5.831509626,-23.37998003,-58.85831112,1.13812100350398,-4.45058959258554
-15.0,-45.0,0.145572107,-4.596161699,-18.54528504,-50.26772175,0.631061272998709,-3.56047167406843
-15.0,-30.0,-0.199657902,-3.360813772,-16.20572525,-35.3021896,0.124001542493436,-2.67035375555132
-15.0,-15.0,-0.54488791,-2.125465845,-13.41473083,-19.27593821,-0.383058188011836,-1.78023583703422
-15.0,0.0,-0.890117919,-0.890117919,-13.00827871,-2.196969525,-0.890117918517108,-0.890117918517108
-15.0,15.0,-1.235347927,0.345230008,-13.66281191,10.95394967,-1.42773490788161,0
-15.0,30.0,-1.580577935,1.580577935,-12.96108594,22.23711326,-1.96535189724612,0.890117918517108
-15.0,45.0,-1.925807944,2.815925862,-10.65873797,36.42884945,-2.50296888661063,1.78023583703422
-15.0,60.0,-2.271037952,4.051273789,-8.805911627,48.4261042,-3.04058587597513,2.67035375555132
0.0,-60.0,1.405147179,-4.965618853,-8.49627513,-56.54487727,2.08945587047873,-3.56047167406843
0.0,-45.0,1.053860384,-3.72421414,-4.612218801,-47.92708118,1.56709190285905,-2.67035375555132
0.0,-30.0,0.70257359,-2.482809427,-2.894368702,-32.55295396,1.04472793523936,-1.78023583703422
0.0,-15.0,0.351286795,-1.241404713,-0.995974136,-16.60858814,0.522363967619682,-0.890117918517108
0.0,0.0,0.0,0.0,-0.091815823,-0.033703387,0,0
0.0,15.0,-0.351286795,1.241404713,0.360065241,12.72358214,-0.522363967619682,0.890117918517108
0.0,30.0,-0.70257359,2.482809427,0.95037963,26.62885112,-1.04472793523936,1.78023583703422
0.0,45.0,-1.053860384,3.72421414,2.820973158,38.2977054,-1.56709190285905,2.67035375555132
0.0,60.0,-1.405147179,4.965618853,6.612039456,48.78658962,-2.08945587047873,3.56047167406843
15.0,-60.0,2.318734114,-4.098969951,8.639280754,-57.2744388,2.91835684053820,-2.67035375555132
15.0,-45.0,1.961580065,-2.851697984,9.726657021,-45.30759845,2.41129711003292,-1.78023583703422
15.0,-30.0,1.604426016,-1.604426016,11.45831456,-30.6165614,1.90423737952765,-0.890117918517108
15.0,-15.0,1.247271967,-0.357154049,13.28050218,-15.08624719,1.39717764902238,0
15.0,0.0,0.890117919,0.890117919,13.96432722,1.238933546,0.890117918517108,0.890117918517108
15.0,15.0,0.53296387,2.137389886,15.16712215,15.68786789,0.352500929152602,1.78023583703422
15.0,30.0,0.175809821,3.384661853,16.18167062,27.34860176,-0.185116060211904,2.67035375555132
