proxtarg,disttarg,mt1,mt2,mt3,mt4,proxtdl,disttdl,prox_ang,dist_ang,tip_ang
30,0,1.09E-16,1.780235837,1.258816832,1.258816832,1.780235837,1.780235837,26.65671374,3.373423312,30.03013705
30,15,1.86E-16,3.033185527,1.002256027,1.002256027,1.417404066,3.033185527,27.87029004,17.49398014,45.36427019
30,30,2.62E-16,4.286135216,0.745695221,0.745695221,1.054572295,4.286135216,30.66731627,29.13426139,59.80157766
30,45,3.39E-16,5.539084905,0.489134415,0.489134415,0.691740524,5.539084905,33.51157373,40.5388287,74.05040243
30,60,4.16E-16,6.792034595,0.23257361,0.23257361,0.328908753,6.792034595,38.49695309,52.17123848,90.66819158
45,-60,-1.45E-16,-2.363397762,2.929991416,2.929991416,4.143633599,-2.363397762,34.63485493,-50.1062157,-15.47136076
45,-45,-6.77E-17,-1.104959882,2.669549874,2.669549874,3.775313638,-1.104959882,37.02542033,-37.56369839,-0.538278061
45,-30,9.40E-18,0.153477997,2.409108333,2.409108333,3.406993677,0.153477997,37.90907546,-22.6766602,15.23241526
45,-15,8.65E-17,1.411915876,2.148666791,2.148666791,3.038673716,1.411915876,39.05068975,-9.488948268,29.56174148
45,0,1.64E-16,2.670353756,1.888225249,1.888225249,2.670353756,2.670353756,39.59362025,6.292892425,45.88651267
45,15,2.41E-16,3.928791635,1.627783707,1.627783707,2.302033795,3.928791635,39.90312913,19.80780118,59.71093031
45,30,3.18E-16,5.187229514,1.367342165,1.367342165,1.933713834,5.187229514,42.90485437,31.47790342,74.38275779
45,45,3.95E-16,6.445667393,1.106900623,1.106900623,1.565393873,6.445667393,49.06786924,43.56031688,92.62818612
45,60,4.72E-16,7.704105273,0.846459081,0.846459081,1.197073912,7.704105273,52.85686579,54.20062622,107.057492
60,-60,-9.15E-17,-1.494474474,3.5743867,3.5743867,5.054946148,-1.494474474,49.00455291,-45.57793394,3.42661897
60,-45,-1.41E-17,-0.230737937,3.310198441,3.310198441,4.681327529,-0.230737937,50.71989075,-33.23658272,17.48330803
60,-30,6.33E-17,1.0329986,3.046010182,3.046010182,4.307708911,1.0329986,50.99500183,-18.90540441,32.08959742
60,-15,1.41E-16,2.296735137,2.781821924,2.781821924,3.934090292,2.296735137,50.40545052,-5.933538674,44.47191185
60,0,2.18E-16,3.560471674,2.517633665,2.517633665,3.560471674,3.560471674,51.68019865,8.129130725,59.80932937
60,15,2.95E-16,4.824208211,2.253445406,2.253445406,3.186853056,4.824208211,52.54486789,21.44321694,73.98808483
60,30,3.73E-16,6.087944748,1.989257148,1.989257148,2.813234437,6.087944748,55.01715576,35.15117078,90.16832654
60,45,4.50E-16,7.351681285,1.725068889,1.725068889,2.439615819,7.351681285,61.75747206,46.31828593,108.075758
60,60,5.28E-16,8.615417822,1.46088063,1.46088063,2.0659972,8.615417822,66.83450064,55.46063959,122.2951402
