,DistTarget,Method,TDL
156,-15,DNNProx,4.709568501
157,0,DNNProx,4.460724831
158,15,DNNProx,4.1698246
159,30,DNNProx,3.826543331
160,45,DNNProx,2.609381676
161,60,DNNProx,2.441608667
162,-60,NewProx,-1.44866437807759
163,-45,NewProx,-1.97661620207530
164,-30,NewProx,-2.50456802607301
165,-15,NewProx,-3.03251985007072
166,0,NewProx,-3.56047167406843
167,15,NewProx,-4.08842349806614
168,30,NewProx,-4.61637532206385
169,45,NewProx,-5.14432714606156
170,60,NewProx,-5.67227897005927
171,-60,NewProx,-0.558546459560485
172,-45,NewProx,-1.08649828355819
173,-30,NewProx,-1.61445010755590
174,-15,NewProx,-2.14240193155361
175,0,NewProx,-2.67035375555132
176,15,NewProx,-3.19830557954903
177,30,NewProx,-3.72625740354674
178,45,NewProx,-4.25420922754445
179,60,NewProx,-4.78216105154216
180,-60,NewProx,0.331571458956623
181,-45,NewProx,-0.196380365041087
182,-30,NewProx,-0.724332189038797
183,-15,NewProx,-1.25228401303651
184,0,NewProx,-1.78023583703422
185,15,NewProx,-2.30818766103193
186,30,NewProx,-2.83613948502964
187,45,NewProx,-3.36409130902735
188,60,NewProx,-3.89204313302505
189,-60,NewProx,1.22168937747373
190,-45,NewProx,0.693737553476021
191,-30,NewProx,0.165785729478311
192,-15,NewProx,-0.362166094519398
193,0,NewProx,-0.890117918517108
194,15,NewProx,-1.41806974251482
195,30,NewProx,-1.94602156651253
196,45,NewProx,-2.47397339051024
197,60,NewProx,-3.00192521450795
198,-60,NewProx,2.11180729599084
199,-45,NewProx,1.58385547199313
200,-30,NewProx,1.05590364799542
201,-15,NewProx,0.527951823997710
202,0,NewProx,0
203,15,NewProx,-0.527951823997710
204,30,NewProx,-1.05590364799542
205,45,NewProx,-1.58385547199313
206,60,NewProx,-2.11180729599084
207,-60,NewProx,3.00192521450795
208,-45,NewProx,2.47397339051024
209,-30,NewProx,1.94602156651253
210,-15,NewProx,1.41806974251482
211,0,NewProx,0.890117918517108
212,15,NewProx,0.362166094519398
213,30,NewProx,-0.165785729478311
214,45,NewProx,-0.693737553476021
215,60,NewProx,-1.22168937747373
216,-60,NewProx,3.89204313302505
217,-45,NewProx,3.36409130902735
218,-30,NewProx,2.83613948502964
219,-15,NewProx,2.30818766103193
220,0,NewProx,1.78023583703422
221,15,NewProx,1.25228401303651
222,30,NewProx,0.724332189038797
223,45,NewProx,0.196380365041087
224,60,NewProx,-0.331571458956623
225,-60,NewProx,4.78216105154216
226,-45,NewProx,4.25420922754445
227,-30,NewProx,3.72625740354674
228,-15,NewProx,3.19830557954903
229,0,NewProx,2.67035375555132
