proxtarg,disttarg,ptdl,dtdl,exproxang,exdistang,ret_tp,ret_td
-15.0,-30.0,-0.199657902,-3.360813772,-16.20572525,-35.3021896,-0.244039802112930,-3.31643187195550
-15.0,-15.0,-0.54488791,-2.125465845,-13.41473083,-19.27593821,-0.567078860315019,-2.10327489523630
-15.0,0.0,-0.890117919,-0.890117919,-13.00827871,-2.196969525,-0.890117918517108,-0.890117918517108
-15.0,15.0,-1.235347927,0.345230008,-13.66281191,10.95394967,-1.22529394656744,0.335176028050333
-15.0,30.0,-1.580577935,1.580577935,-12.96108594,22.23711326,-1.56046997461778,1.56046997461778
-15.0,45.0,-1.925807944,2.815925862,-10.65873797,36.42884945,-1.89564600266811,2.78576392118522
-15.0,60.0,-2.271037952,4.051273789,-8.805911627,48.4261042,-2.23082203071844,4.01105786775266
0.0,-60.0,1.405147179,-4.965618853,-8.49627513,-56.54487727,1.31673342399505,-4.87720509806348
0.0,-45.0,1.053860384,-3.72421414,-4.612218801,-47.92708118,0.987550067996285,-3.65790382354761
0.0,-30.0,0.70257359,-2.482809427,-2.894368702,-32.55295396,0.658366711997523,-2.43860254903174
0.0,-15.0,0.351286795,-1.241404713,-0.995974136,-16.60858814,0.329183355998762,-1.21930127451587
0.0,0.0,0.0,0.0,-0.091815823,-0.033703387,0,0
0.0,15.0,-0.351286795,1.241404713,0.360065241,12.72358214,-0.329183355998762,1.21930127451587
0.0,30.0,-0.70257359,2.482809427,0.95037963,26.62885112,-0.658366711997523,2.43860254903174
0.0,45.0,-1.053860384,3.72421414,2.820973158,38.2977054,-0.987550067996285,3.65790382354761
0.0,60.0,-1.405147179,4.965618853,6.612039456,48.78658962,-1.31673342399505,4.87720509806348
15.0,-60.0,2.318734114,-4.098969951,8.639280754,-57.2744388,2.18227415132546,-3.96250998835968
15.0,-45.0,1.961580065,-2.851697984,9.726657021,-45.30759845,1.85923509312338,-2.74935301164048
15.0,-30.0,1.604426016,-1.604426016,11.45831456,-30.6165614,1.53619603492129,-1.53619603492129
15.0,-15.0,1.247271967,-0.357154049,13.28050218,-15.08624719,1.21315697671920,-0.323039058202089
15.0,0.0,0.890117919,0.890117919,13.96432722,1.238933546,0.890117918517108,0.890117918517108
15.0,15.0,0.53296387,2.137389886,15.16712215,15.68786789,0.554941890466774,2.11541186508455
15.0,30.0,0.175809821,3.384661853,16.18167062,27.34860176,0.219765862416441,3.34070581165199
15.0,45.0,-0.181344228,4.631933821,19.36322113,38.98442007,-0.115410165633893,4.56599975821943
15.0,60.0,-0.538498277,5.879205788,22.7010221,49.95762075,-0.450586193684227,5.79129370478687
30.0,-60.0,3.231562921,-3.231562921,21.45575265,-53.70867903,3.04720837567548,-3.04720837567548
30.0,-45.0,2.86873115,-1.978613231,23.86624157,-41.6521785,2.73046524101516,-1.84034732249805
30.0,-30.0,2.505899379,-0.725663542,24.55559666,-27.36196516,2.41372210635485,-0.633486269320631
30.0,-15.0,2.143067608,0.527286148,25.99706463,-11.24960372,2.09697897169453,0.573374783856792
30.0,0.0,1.780235837,1.780235837,26.65671374,3.373423312,1.78023583703422,1.78023583703422
30.0,15.0,1.417404066,3.033185527,27.87029004,17.49398014,1.43921876267741,3.01137082990813
30.0,30.0,1.054572295,4.286135216,30.66731627,29.13426139,1.09820168832061,4.24250582278204
30.0,45.0,0.691740524,5.539084905,33.51157373,40.5388287,0.757184613963801,5.47364081565595
30.0,60.0,0.328908753,6.792034595,38.49695309,52.17123848,0.416167539606996,6.70477580852987
45.0,-60.0,4.143633599,-2.363397762,34.63485493,-50.1062157,3.91153609704509,-2.13130026001087
